id,target
0,white
1,white
2,white
3,white
4,white
5,white
6,white
7,white
8,white
9,white
10,white
11,white
12,black
13,white
14,white
15,white
16,white
17,white
18,white
19,white
20,black
21,white
22,white
23,white
24,white
25,white
26,black
27,white
28,black
29,white
30,white
31,white
32,black
33,white
34,black
35,white
36,black
37,white
38,black
39,white
40,black
41,white
42,black
43,white
44,black
45,white
46,black
47,white
48,black
49,white
50,black
51,white
52,black
53,white
54,black
55,white
56,black
57,black
58,white
59,black
60,white
61,white
62,white
63,white
64,white
65,black
66,white
67,white
68,white
69,white
70,white
71,white
72,white
73,black
74,white
75,white
76,white
77,white
78,white
79,black
80,white
81,black
82,white
83,white
84,white
85,black
86,white
87,black
88,white
89,black
90,white
91,black
92,white
93,black
94,white
95,black
96,white
97,black
98,white
99,black
100,white
101,black
102,white
103,black
104,white
105,black
106,white
107,black
108,white
109,black
110,white
111,black
112,white
113,black
114,white
115,black
116,white
117,white
118,black
119,white
120,black
121,white
122,white
123,white
124,white
125,white
126,black
127,white
128,white
129,white
130,white
131,white
132,black
133,white
134,black
135,white
136,white
137,white
138,black
139,white
140,black
141,white
142,black
143,white
144,black
145,white
146,black
147,white
148,black
149,white
150,black
151,white
152,black
153,white
154,black
155,white
156,black
157,white
158,black
159,white
160,black
161,white
162,black
163,white
164,black
165,white
166,black
167,white
168,black
169,white
170,black
171,white
172,black
173,white
174,black
175,white
176,black
177,black
178,white
179,black
180,white
181,white
182,white
183,white
184,black
185,white
186,white
187,white
188,white
189,white
190,black
191,white
192,black
193,white
194,white
195,white
196,black
197,white
198,black
199,white
200,black
201,white
202,black
203,white
204,black
205,white
206,black
207,white
208,black
209,white
210,black
211,white
212,black
213,white
214,black
215,white
216,black
217,white
218,black
219,white
220,black
221,white
222,black
223,white
224,black
225,white
226,black
227,white
228,black
229,white
230,black
231,white
232,black
233,white
234,black
235,white
236,black
237,black
238,white
239,black
240,white
241,white
242,white
243,white
244,white
245,white
246,white
247,white
248,white
249,white
250,white
251,black
252,white
253,white
254,white
255,white
256,white
257,black
258,white
259,black
260,white
261,white
262,white
263,black
264,white
265,black
266,white
267,black
268,white
269,black
270,white
271,black
272,white
273,black
274,white
275,black
276,white
277,black
278,white
279,black
280,white
281,black
282,white
283,black
284,white
285,black
286,white
287,black
288,white
289,black
290,white
291,black
292,white
293,black
294,white
295,black
296,white
297,white
298,black
299,white
300,white
301,white
302,white
303,white
304,white
305,white
306,white
307,white
308,white
309,white
310,white
311,white
312,white
313,white
314,white
315,white
316,white
317,white
318,black
319,white
320,white
321,white
322,white
323,white
324,black
325,white
326,black
327,white
328,white
329,white
330,black
331,white
332,black
333,white
334,black
335,white
336,black
337,white
338,black
339,white
340,black
341,white
342,black
343,white
344,black
345,white
346,black
347,white
348,black
349,white
350,black
351,white
352,black
353,white
354,black
355,white
356,black
357,black
358,white
359,black
360,white
361,white
362,white
363,white
364,white
365,white
366,white
367,white
368,white
369,white
370,white
371,white
372,white
373,black
374,white
375,white
376,white
377,white
378,white
379,black
380,white
381,black
382,white
383,white
384,white
385,black
386,white
387,black
388,white
389,black
390,white
391,black
392,white
393,black
394,white
395,black
396,white
397,black
398,white
399,black
400,white
401,black
402,white
403,black
404,white
405,black
406,white
407,black
408,white
409,black
410,white
411,black
412,white
413,black
414,white
415,black
416,white
417,white
418,black
419,white
420,black
421,white
422,white
423,white
424,white
425,white
426,white
427,white
428,white
429,white
430,white
431,white
432,black
433,white
434,black
435,white
436,white
437,white
438,black
439,white
440,black
441,white
442,black
443,white
444,black
445,white
446,black
447,white
448,black
449,white
450,black
451,white
452,black
453,white
454,black
455,white
456,black
457,white
458,black
459,white
460,black
461,white
462,black
463,white
464,black
465,white
466,black
467,white
468,black
469,white
470,black
471,white
472,black
473,white
474,black
475,white
476,black
477,black
478,white
479,black
480,white
481,black
482,white
483,white
484,white
485,white
486,black
487,white
488,white
489,white
490,white
491,black
492,white
493,black
494,white
495,black
496,white
497,black
498,white
499,black
500,white
501,black
502,white
503,black
504,white
505,black
506,white
507,black
508,white
509,black
510,white
511,black
512,white
513,black
514,white
515,black
516,white
517,black
518,white
519,black
520,white
521,black
522,white
523,black
524,white
525,black
526,white
527,black
528,white
529,black
530,white
531,black
532,white
533,black
534,white
535,black
536,white
537,white
538,black
539,white
540,black
541,white
542,white
543,white
544,white
545,black
546,white
547,black
548,white
549,white
550,black
551,white
552,black
553,white
554,black
555,white
556,black
557,white
558,black
559,white
560,black
561,white
562,black
563,white
564,black
565,white
566,black
567,white
568,black
569,white
570,black
571,white
572,black
573,white
574,black
575,white
576,black
577,white
578,black
579,white
580,black
581,white
582,black
583,white
584,black
585,white
586,black
587,white
588,black
589,white
590,black
591,white
592,black
593,white
594,black
595,white
596,black
597,black
598,white
599,black
600,white
601,white
602,white
603,white
604,black
605,white
606,black
607,white
608,white
609,white
610,white
611,black
612,white
613,black
614,white
615,black
616,white
617,black
618,white
619,black
620,white
621,black
622,white
623,black
624,white
625,black
626,white
627,black
628,white
629,black
630,white
631,black
632,white
633,black
634,white
635,black
636,white
637,black
638,white
639,black
640,white
641,black
642,white
643,black
644,white
645,black
646,white
647,black
648,white
649,black
650,white
651,black
652,white
653,black
654,white
655,black
656,white
657,white
658,black
659,white
660,white
661,white
662,white
663,white
664,white
665,black
666,white
667,white
668,white
669,white
670,white
671,white
672,black
673,white
674,white
675,white
676,black
677,white
678,black
679,white
680,black
681,white
682,black
683,white
684,black
685,white
686,black
687,white
688,black
689,white
690,black
691,white
692,black
693,white
694,black
695,white
696,black
697,white
698,black
699,white
700,black
701,white
702,black
703,white
704,black
705,white
706,black
707,white
708,black
709,white
710,black
711,white
712,black
713,white
714,black
715,white
716,black
717,black
718,white
719,black
720,white
721,white
722,white
723,white
724,white
725,white
726,white
727,white
728,white
729,white
730,white
731,white
732,white
733,white
734,white
735,white
736,white
737,black
738,white
739,black
740,white
741,white
742,white
743,black
744,white
745,black
746,white
747,black
748,white
749,black
750,white
751,black
752,white
753,black
754,white
755,black
756,white
757,black
758,white
759,black
760,white
761,black
762,white
763,black
764,white
765,black
766,white
767,black
768,white
769,black
770,white
771,black
772,white
773,black
774,white
775,black
776,white
777,white
778,black
779,white
780,white
781,white
782,white
783,white
784,white
785,white
786,white
787,white
788,white
789,white
790,white
791,white
792,white
793,white
794,white
795,white
796,white
797,white
798,white
799,white
800,black
801,white
802,white
803,white
804,white
805,white
806,black
807,white
808,black
809,white
810,white
811,white
812,black
813,white
814,black
815,white
816,black
817,white
818,black
819,white
820,black
821,white
822,black
823,white
824,black
825,white
826,black
827,white
828,black
829,white
830,black
831,white
832,black
833,white
834,black
835,white
836,black
837,black
838,white
839,black
840,white
841,white
842,white
843,white
844,white
845,white
846,black
847,white
848,white
849,white
850,white
851,white
852,white
853,white
854,white
855,white
856,white
857,white
858,white
859,black
860,white
861,black
862,white
863,white
864,white
865,black
866,white
867,black
868,white
869,black
870,white
871,black
872,white
873,black
874,white
875,black
876,white
877,black
878,white
879,black
880,white
881,black
882,white
883,black
884,white
885,black
886,white
887,black
888,white
889,black
890,white
891,black
892,white
893,black
894,white
895,black
896,white
897,white
898,black
899,white
900,black
901,white
902,white
903,white
904,white
905,white
906,white
907,black
908,white
909,white
910,white
911,white
912,white
913,black
914,white
915,white
916,white
917,white
918,black
919,white
920,black
921,white
922,black
923,white
924,black
925,white
926,black
927,white
928,black
929,white
930,black
931,white
932,black
933,white
934,black
935,white
936,black
937,white
938,black
939,white
940,black
941,white
942,black
943,white
944,black
945,white
946,black
947,white
948,black
949,white
950,black
951,white
952,black
953,white
954,black
955,white
956,black
957,black
958,white
959,black
960,white
961,white
962,white
963,white
964,white
965,white
966,black
967,white
968,white
969,white
970,white
971,white
972,black
973,white
974,black
975,white
976,white
977,black
978,white
979,black
980,white
981,black
982,white
983,black
984,white
985,black
986,white
987,black
988,white
989,black
990,white
991,black
992,white
993,black
994,white
995,black
996,white
997,black
998,white
999,black
1000,white
1001,black
1002,white
1003,black
1004,white
1005,black
1006,white
1007,black
1008,white
1009,black
1010,white
1011,black
1012,white
1013,black
1014,white
1015,black
1016,white
1017,white
1018,black
1019,white
1020,white
1021,white
